Evaluation,Model,Parameter,Accuracy
1,CNN,"number_of_layers=50, base_learning_rate=0.1, batch_size=32",0.4761904849237575
1,CNN,"base_learning_rate=0.1, batch_size=32, number_of_layers=100",0.5054945124811305
1,CNN,"number_of_layers=50, base_learning_rate=0.001, batch_size=32",0.5054944976345523
1,CNN,"batch_size=32, base_learning_rate=0.001, number_of_layers=100",0.5347985400385036
2,CNN,"number_of_layers=50, base_learning_rate=0.1, batch_size=32",0.5039370059967041
2,CNN,"base_learning_rate=0.1, batch_size=32, number_of_layers=100",0.4803149551153183
2,CNN,"number_of_layers=50, base_learning_rate=0.001, batch_size=32",0.468503937125206
2,CNN,"batch_size=32, base_learning_rate=0.001, number_of_layers=100",0.4724409431219101
3,CNN,"number_of_layers=50, base_learning_rate=0.1, batch_size=32",0.4960629791021347
3,CNN,"base_learning_rate=0.1, batch_size=32, number_of_layers=100",0.4842519611120224
3,CNN,"number_of_layers=50, base_learning_rate=0.001, batch_size=32",0.4803149551153183
3,CNN,"batch_size=32, base_learning_rate=0.001, number_of_layers=100",0.468503937125206
4,CNN,"number_of_layers=50, base_learning_rate=0.1, batch_size=32",0.4960629940032959
4,CNN,"base_learning_rate=0.1, batch_size=32, number_of_layers=100",0.4921259880065918
4,CNN,"number_of_layers=50, base_learning_rate=0.001, batch_size=32",0.5039370059967041
4,CNN,"batch_size=32, base_learning_rate=0.001, number_of_layers=100",0.4645669311285019
5,CNN,"number_of_layers=50, base_learning_rate=0.1, batch_size=32",0.5039370059967041
5,CNN,"base_learning_rate=0.1, batch_size=32, number_of_layers=100",0.5039370059967041
5,CNN,"number_of_layers=50, base_learning_rate=0.001, batch_size=32",0.5157480239868164
5,CNN,"batch_size=32, base_learning_rate=0.001, number_of_layers=100",0.5
6,CNN,"number_of_layers=50, base_learning_rate=0.1, batch_size=32",0.49442379492366184
6,CNN,"base_learning_rate=0.1, batch_size=32, number_of_layers=100",0.4907063259068032
6,CNN,"number_of_layers=50, base_learning_rate=0.001, batch_size=32",0.524163576750064
6,CNN,"batch_size=32, base_learning_rate=0.001, number_of_layers=100",0.460966544080401
7,CNN,"number_of_layers=50, base_learning_rate=0.1, batch_size=32",0.4960629940032959
7,CNN,"base_learning_rate=0.1, batch_size=32, number_of_layers=100",0.5
7,CNN,"number_of_layers=50, base_learning_rate=0.001, batch_size=32",0.5236220359802246
7,CNN,"batch_size=32, base_learning_rate=0.001, number_of_layers=100",0.4488189071416855
